MSOA21CD,MSOA21NM,IMD_Decile_Mean,LSOA_Count
E02000562,Islington 009,4.4,5
E02000563,Islington 010,2.8,5
E02000564,Islington 011,4.625,8
E02000565,Islington 012,3.6,5
E02000566,Islington 013,4.8,5
E02000567,Islington 014,3.3333333333333335,6
E02000568,Islington 015,3.0,5
E02000569,Islington 016,3.3333333333333335,6
E02000570,Islington 017,5.0,5
E02000571,Islington 018,3.4,5
E02000572,Islington 019,2.8,5
E02000573,Islington 020,4.833333333333333,6
E02000574,Islington 021,4.0,5
E02000575,Islington 022,5.0,7
E02000576,Islington 023,3.6,5
E02000577,Kensington and Chelsea 001,2.2,5
E02000578,Kensington and Chelsea 002,1.75,4
E02000579,Kensington and Chelsea 003,4.2,5
E02000580,Kensington and Chelsea 004,2.8,5
E02000581,Kensington and Chelsea 005,2.2,5
E02000582,Kensington and Chelsea 006,5.8,5
E02000583,Kensington and Chelsea 007,6.6,5
E02000584,Kensington and Chelsea 008,8.0,5
E02000585,Kensington and Chelsea 009,6.6,5
E02000586,Kensington and Chelsea 010,7.8,5
E02000587,Kensington and Chelsea 011,7.8,5
E02000588,Kensington and Chelsea 012,7.4,5
E02000589,Kensington and Chelsea 013,6.6,5
E02000590,Kensington and Chelsea 014,4.6,5
E02000591,Kensington and Chelsea 015,3.75,4
E02000592,Kensington and Chelsea 016,7.5,4
E02000593,Kensington and Chelsea 017,5.8,5
E02000594,Kensington and Chelsea 018,6.4,5
E02000595,Kensington and Chelsea 019,6.2,5
E02000596,Kensington and Chelsea 020,7.0,4
E02000597,Kensington and Chelsea 021,2.6,5
E02000598,Kingston upon Thames 001,9.6,5
E02000599,Kingston upon Thames 002,9.0,5
E02000600,Kingston upon Thames 003,7.2,5
E02000601,Kingston upon Thames 004,8.142857142857142,7
E02000602,Kingston upon Thames 005,5.4,5
E02000603,Kingston upon Thames 006,5.8,5
E02000604,Kingston upon Thames 007,7.6,5
E02000605,Kingston upon Thames 008,8.0,5
E02000606,Kingston upon Thames 009,8.4,5
E02000607,Kingston upon Thames 010,9.25,4
E02000608,Kingston upon Thames 011,6.75,4
E02000609,Kingston upon Thames 012,7.0,5
