MSOA21CD,Intercept,IMD,Asian,Black,Other,retailers___other,takeaway_sandwich_shop,pub_bar_nightclub,supermarkets_hypermarkets,hotel_bed_and_breakfast_guest_house,other_catering_premises,log_pop_density,local_R2,y_pred
E02000035,-5.826873729084731,-0.22652330386274316,0.08566925918779868,-0.07998295770466797,0.475546085206513,0.016691275068906785,-0.06341920488316853,-0.08226623152031913,-0.020570254205377517,0.052021117269484225,-0.08349433271852306,1.0735000351142485,0.35659648417961415,6.0771909275660825
E02000036,-27.363500633135402,-0.01613662026280535,0.0390169131100393,0.12960260210555752,0.45227156948281777,0.050388687733860855,-0.08780126496017046,0.008929119901734806,-0.026804774695806215,0.0978786411789998,0.0006589557650069624,3.117435912377593,0.3109967458982104,5.405907562517601
E02000037,-28.959591545453762,0.06624719577299965,0.037015737857659665,0.12361049655167178,0.40441880552103726,0.04009919467549086,-0.06763961891946303,0.018130511691437375,-0.026443784854363495,0.10861670365702183,-0.012949881526789633,3.3278895741438514,0.29941652923520357,3.1253177321706325
E02000038,-2.5871207702148276,-0.4123552837747302,0.17182955536863068,-0.181094577863091,0.3914987814229385,0.03675881021262796,-0.0008954099446032288,-0.07022326420845963,0.01904117554445399,0.04099507964978122,-0.04072648966632413,0.6488124747900343,0.34464533931258173,6.234819695952215
E02000039,-25.51065465371084,-0.022587611322976542,0.0425108074856066,0.1319094434566735,0.48405205073793434,0.052865404455330764,-0.10314455682757324,-0.000578003450983587,-0.039778124946343286,0.10624389983758839,-0.012201083135063757,2.89517016178823,0.3262243832982682,3.218333935201894
E02000040,-20.4113132512134,0.1505667638582447,0.04705123001530026,0.17486693503703818,0.5466206488609399,0.04114484323700675,-0.10363526641444236,-0.04409256097060574,-0.07001299380791136,0.09234939872057664,-0.06949101912822553,2.2307031963825956,0.34786483722322636,2.281623295556088
E02000041,-31.216832475390024,-0.012492995532188578,0.049823278255779646,0.0919966094580876,0.4634791976727326,0.04943518705427937,-0.08335632007310008,0.03324088854546779,-0.027572345779440195,0.09786783491629858,0.007486362303113715,3.521726306507328,0.3086696526001761,7.916987712284165
E02000042,-6.044769052950872,-0.33606271281795624,0.14913867426620248,-0.1188858679343122,0.38339662970207644,0.018183310054903142,-0.0668500063696145,-0.0835283705803176,-0.05701143831865908,0.07372522433122074,-0.08034844903278371,1.1933735865347173,0.36549764121376155,9.100713630934147
E02000043,-9.694431909645857,-0.10442142573209773,0.0914260358625225,0.014544908145432911,0.4792417632596613,0.015512531894966246,-0.09219018791402234,-0.08091256216110806,-0.07760528080232942,0.07918665704193822,-0.10643054140423668,1.4198432509597942,0.36636441831548866,3.500190084348053
E02000044,-28.153834317334407,-0.08735478424038656,0.050785334146867145,0.09771120708768288,0.472454129393463,0.055276490563284035,-0.10039727735595479,0.021384755888014084,-0.034067605258904315,0.11083587734043332,0.0018856977033367556,3.214519872598803,0.3207233298873598,7.775602984085523
E02000045,-3.7445713884208613,-0.5877934873105869,0.21869905725563038,-0.22414640656842066,0.2850823894646194,0.02616621217211238,-0.011402366151974576,-0.055894279148565,-0.027231819807845316,0.06319948085522267,-0.03704327619655697,1.0011434059099855,0.3370534128720198,4.741899068752678
E02000046,-7.638650142982669,-0.2492289876935031,0.14669045328346492,-0.010955176194930388,0.35767044816374943,0.011683547862085156,-0.10280334993328862,-0.09170004509121368,-0.12671598479069446,0.11103539123044542,-0.12825821473619536,1.3999245595290877,0.3806029189532191,5.911292227658493
E02000047,-31.59490748517685,-0.10112253754043962,0.06156556147066159,0.0720345306470273,0.48868401671541517,0.05510442050549815,-0.10103327112745625,0.04612874812937858,-0.03203146946270452,0.11149857157707069,0.014184831747979418,3.563013708239292,0.31697834302675226,7.536301487933191
E02000048,-20.9820432907208,0.004570895096399519,0.06694438185883654,0.11749867458828808,0.4901349416038935,0.03798753363606661,-0.11485430772032654,-0.033846642718193896,-0.0964244202332159,0.11432343499819483,-0.08136801008761722,2.488306326327802,0.3547138352603825,5.397574324639393
E02000049,-28.34728881011378,-0.11978743081518373,0.058165427389473515,0.0839773038390946,0.47251885169899627,0.05503601237869703,-0.11036706220437595,0.02615225751987859,-0.0438346667168499,0.12095375029175329,-0.004971897202340161,3.266801520496267,0.32781598518082233,10.184045259481067
E02000050,-4.228285377348854,-0.5635989204194165,0.23295094190718185,-0.1706613861784002,0.189116252617111,0.021659417163271702,-0.06635961768744346,-0.08427851915003617,-0.09710019994351628,0.11815897622179608,-0.08455671949755403,1.2397539532313429,0.36950952741339876,6.180807395716922
E02000051,-9.664618143016337,-0.2246710187562545,0.12217021728547162,0.06216013048454913,0.37540780025638537,0.0035898063379475667,-0.130698212174978,-0.08951888624198284,-0.16384318803146325,0.11820171685766775,-0.1624294287937726,1.6898257773208982,0.38322152309116025,5.2604637911121355
