BusinessTypeID,FHRSID,BusinessType,Hygiene,Latitude,LocalAuthorityBusinessID,LocalAuthorityCode,LocalAuthorityName,Longitude,RatingValue
7843,1053354,Pub/bar/nightclub,0.0,51.3445108,18/00268/COMM,507,Croydon,-0.0611988,5
4613,1500240,Retailers - other,5.0,51.3429378,22/00253/COMM,507,Croydon,-0.0139667,5
7843,21607,Pub/bar/nightclub,5.0,51.417226,07/00042/COMM,507,Croydon,-0.0813795,5
4613,5492,Retailers - other,5.0,51.34820938,01890/2027/2/200,507,Croydon,-0.094209999,5
4613,18556,Retailers - other,10.0,51.37171555,06/00157/COMM,507,Croydon,-0.109196998,3
4613,1045119,Retailers - other,0.0,51.3562291,18/00189/COMM,507,Croydon,-0.0974301,5
4613,1691261,Retailers - other,5.0,51.37469101,24/00029/COMM,507,Croydon,-0.050278001,5
4613,6558,Retailers - other,5.0,51.40125656,02285/0273/0/200,507,Croydon,-0.084688,3
4613,1689,Retailers - other,0.0,51.32001495,00351/0175/0/200,507,Croydon,-0.138705999,4
1,712875,Restaurant/Cafe/Canteen,0.0,51.39660263,14/00069/COMM,507,Croydon,-0.113877997,5
4613,1475522,Retailers - other,0.0,51.39824295,22/00135/COMM,507,Croydon,-0.099463001,5
4613,1583915,Retailers - other,0.0,51.39970779,23/00018/COMM,507,Croydon,-0.097906999,4
1,1281297,Restaurant/Cafe/Canteen,5.0,51.41886139,20/00412/COMM,507,Croydon,-0.082327001,4
1,1813431,Restaurant/Cafe/Canteen,,51.3833914,25/00325/COMM,507,Croydon,-0.1071117,5
1,6957,Restaurant/Cafe/Canteen,0.0,51.3493911,02662/0415/0/200,507,Croydon,-0.0999823,5
1,6944,Restaurant/Cafe/Canteen,0.0,51.3538388,02662/0267/0/200,507,Croydon,-0.0975434,5
1,983440,Restaurant/Cafe/Canteen,10.0,51.41886139,17/00233/COMM,507,Croydon,-0.082327001,3
4613,1829805,Retailers - other,0.0,51.38363647,25/00403/COMM,507,Croydon,-0.107842997,5
1,2468,Restaurant/Cafe/Canteen,0.0,51.32898331,00925/0008/0/200,507,Croydon,-0.10751,5
1,4835,Restaurant/Cafe/Canteen,5.0,51.38211441,01351/0272/0/200,507,Croydon,-0.068586998,5
7844,4335,Takeaway/sandwich shop,5.0,51.36948395,01078/0216/0/200,507,Croydon,-0.100022003,5
1,1159950,Restaurant/Cafe/Canteen,5.0,51.32035446,19/00316/COMM,507,Croydon,-0.139782995,4
1,1546122,Restaurant/Cafe/Canteen,0.0,51.3746376,22/00533/COMM,507,Croydon,-0.095124997,5
1,1628809,Restaurant/Cafe/Canteen,5.0,51.3669953,23/00356/COMM,507,Croydon,-0.0991966,4
7844,937102,Takeaway/sandwich shop,0.0,51.41409683,15/00200/COMM,507,Croydon,-0.124145001,4
4613,1050813,Retailers - other,0.0,51.3722629,18/00252/COMM,507,Croydon,-0.1007172,4
7840,1685264,Retailers - supermarkets/hypermarkets,10.0,51.37368011,23/00788/COMM,507,Croydon,-0.10311,3
7842,21796,Hotel/bed & breakfast/guest house,0.0,51.37490463,07/00069/COMM,507,Croydon,-0.096708998,5
