Middle layer Super Output Areas Code,Middle layer Super Output Areas,Observation
E02000840,Sutton 001,6815.6
E02000841,Sutton 002,7954.3
E02000842,Sutton 003,5116.2
E02000843,Sutton 004,7410.6
E02000844,Sutton 005,8564.5
E02000845,Sutton 006,6252.9
E02000846,Sutton 007,5574.3
E02000847,Sutton 008,6110.6
E02000848,Sutton 009,7081.7
E02000849,Sutton 010,6849
E02000850,Sutton 011,2176
E02000851,Sutton 012,10142.8
E02000852,Sutton 013,8593.7
E02000853,Sutton 014,6554.1
E02000854,Sutton 015,4678.3
E02000855,Sutton 016,4408.4
E02000856,Sutton 017,7448.5
E02000857,Sutton 018,8816
E02000858,Sutton 019,5589.5
E02000859,Sutton 020,4961.7
E02000860,Sutton 021,10003.4
E02000861,Sutton 022,3035
E02000863,Sutton 024,1026.3
E02000864,Tower Hamlets 001,8921.9
E02000865,Tower Hamlets 002,17164.7
E02000866,Tower Hamlets 003,9385.5
E02000867,Tower Hamlets 004,14002.5
E02000868,Tower Hamlets 005,20022.3
E02000869,Tower Hamlets 006,18453.6
E02000870,Tower Hamlets 007,16129.1
E02000871,Tower Hamlets 008,17205.6
E02000872,Tower Hamlets 009,17811.1
E02000873,Tower Hamlets 010,19512.7
E02000874,Tower Hamlets 011,21860.6
E02000875,Tower Hamlets 012,20328
E02000876,Tower Hamlets 013,13507.9
E02000877,Tower Hamlets 014,17094.6
E02000878,Tower Hamlets 015,16342.4
E02000879,Tower Hamlets 016,18799
E02000880,Tower Hamlets 017,17487.2
E02000881,Tower Hamlets 018,15345.7
E02000882,Tower Hamlets 019,20022.6
E02000883,Tower Hamlets 020,19634.2
E02000884,Tower Hamlets 021,23407.9
E02000885,Tower Hamlets 022,20863.6
E02000886,Tower Hamlets 023,19686
E02000887,Tower Hamlets 024,18539.3
E02000888,Tower Hamlets 025,16554
E02000889,Tower Hamlets 026,15462.2
E02000890,Tower Hamlets 027,10365.4
E02000893,Tower Hamlets 030,10363.4
E02000894,Tower Hamlets 031,20093.1
E02000895,Waltham Forest 001,3818.2
E02000896,Waltham Forest 002,3314.9
E02000897,Waltham Forest 003,4554
E02000898,Waltham Forest 004,5231.2
E02000899,Waltham Forest 005,7321.1
E02000900,Waltham Forest 006,5777.1
E02000901,Waltham Forest 007,6099.6
E02000902,Waltham Forest 008,8189.4
E02000903,Waltham Forest 009,5225.3
E02000904,Waltham Forest 010,5773
E02000905,Waltham Forest 011,9980.9
E02000906,Waltham Forest 012,15617.2
E02000907,Waltham Forest 013,11839.7
E02000908,Waltham Forest 014,5478.3
E02000909,Waltham Forest 015,6641.1
E02000910,Waltham Forest 016,14452.5
E02000911,Waltham Forest 017,14557
E02000912,Waltham Forest 018,3897.3
E02000913,Waltham Forest 019,9119.5
E02000914,Waltham Forest 020,16866.3
E02000915,Waltham Forest 021,5430.9
E02000916,Waltham Forest 022,4752.8
E02000917,Waltham Forest 023,14122.2
E02000918,Waltham Forest 024,11202.8
E02000919,Waltham Forest 025,16424.9
E02000920,Waltham Forest 026,5894.9
E02000921,Waltham Forest 027,13330.6
E02000922,Waltham Forest 028,16022.4
E02000923,Wandsworth 001,7040.2
E02000925,Wandsworth 003,17865.2
E02000926,Wandsworth 004,18464.5
E02000927,Wandsworth 005,15770.8
E02000928,Wandsworth 006,8896.9
E02000929,Wandsworth 007,20109.2
E02000930,Wandsworth 008,12436.5
E02000931,Wandsworth 009,11079.7
E02000932,Wandsworth 010,10147
E02000933,Wandsworth 011,8249.9
E02000934,Wandsworth 012,11356.5
E02000935,Wandsworth 013,5163.5
E02000936,Wandsworth 014,10388.2
E02000937,Wandsworth 015,6656.1
E02000938,Wandsworth 016,6116.7
E02000939,Wandsworth 017,10736
E02000940,Wandsworth 018,13302.9
E02000941,Wandsworth 019,9524.5
E02000942,Wandsworth 020,9576.8
E02000943,Wandsworth 021,12359.7
E02000944,Wandsworth 022,13036.4
E02000945,Wandsworth 023,3548.6
E02000946,Wandsworth 024,7913.5
E02000947,Wandsworth 025,11216.4
E02000948,Wandsworth 026,7554.4
E02000949,Wandsworth 027,7154.7
E02000950,Wandsworth 028,8832.1
E02000951,Wandsworth 029,13063.2
E02000952,Wandsworth 030,11006.4
E02000953,Wandsworth 031,10898.9
E02000954,Wandsworth 032,13540.5
E02000955,Wandsworth 033,12279.9
E02000956,Wandsworth 034,8655.1
E02000957,Wandsworth 035,14606
E02000958,Wandsworth 036,9290.5
E02000959,Wandsworth 037,15054.5
E02000960,Westminster 001,6671.7
E02000961,Westminster 002,12093.7
E02000962,Westminster 003,11101
E02000963,Westminster 004,21601.3
E02000964,Westminster 005,23873.4
E02000965,Westminster 006,16034.2
E02000966,Westminster 007,16518.5
E02000967,Westminster 008,4282.9
E02000968,Westminster 009,23792.3
E02000969,Westminster 010,17689.2
E02000970,Westminster 011,6306.6
E02000971,Westminster 012,13815.9
E02000972,Westminster 013,6095.9
E02000973,Westminster 014,18357
E02000974,Westminster 015,12628.8
E02000975,Westminster 016,15308.6
E02000976,Westminster 017,18262.9
E02000977,Westminster 018,2544.4
E02000978,Westminster 019,1983.7
E02000979,Westminster 020,5836
E02000980,Westminster 021,19573.7
E02000981,Westminster 022,22719
E02000982,Westminster 023,11712.9
E02000983,Westminster 024,20298.1
E02006782,Bromley 040,3125.9
E02006783,Lewisham 037,8284.8
E02006784,Lewisham 038,5521.8
E02006785,Bexley 029,4868.1
E02006786,Greenwich 033,6075.6
E02006787,Bromley 041,5232.7
E02006788,Croydon 045,5461.4
E02006789,Bromley 042,302.3
E02006791,Ealing 040,11038.8
E02006792,Hounslow 029,6210.9
E02006793,Enfield 037,9733.6
E02006794,Haringey 037,11949.8
E02006795,Harrow 032,8560
E02006796,Hillingdon 033,2254.1
E02006798,Lewisham 039,10835.1
E02006799,Barking and Dagenham 023,10355.2
E02006800,Redbridge 034,8921.4
E02006801,Lambeth 036,7465.1
E02006802,Southwark 034,13445.4
E02006836,Sutton 025,2614.2
E02006853,Tower Hamlets 032,21999.2
E02006854,Tower Hamlets 033,7699.9
E02006882,Harrow 033,6763.8
E02006918,Hackney 028,16184.2
E02006921,Hackney 029,17508.3
E02006924,Redbridge 035,5652.5
E02006925,Redbridge 036,5788.4
E02006927,Greenwich 034,4904.4
E02006928,Greenwich 035,22365.5
E02006930,Greenwich 037,11345.9
E02006931,Greenwich 038,4745.2
E02006941,Southwark 035,14233.7
E02006942,Southwark 036,17104.5
E02006953,Barnet 042,13134.2
E02006954,Barnet 043,11865.5
E02006955,Brent 035,12326.4
E02006956,Brent 036,6631.1
E02006968,Ealing 041,5705.8
E02006969,Ealing 042,8954.6
E02006970,Ealing 043,15127.7
E02006971,Ealing 044,8731.6
E02006972,Hounslow 030,3508.1
E02006973,Hounslow 031,10975.6
E02006987,Croydon 046,10263.1
E02006988,Croydon 047,9210.3
E02006991,Greenwich 039,14760.6
E02006992,Greenwich 040,4853.4
E02006993,Greenwich 041,9852.2
E02006994,Greenwich 042,5305.9
E02006995,Newham 038,11926
E02006996,Newham 039,8765.2
E02006997,Newham 040,4028.3
E02006998,Newham 041,3378.8
E02006999,Newham 042,9214.1
E02007008,Lewisham 040,15861.3
E02007009,Lewisham 041,8701.7
E02007017,Redbridge 037,9766.2
E02007018,Redbridge 038,11883
E02007019,Redbridge 039,11459.2
E02007020,Redbridge 040,15218.1
E02007083,Wandsworth 038,6930.6
E02007084,Wandsworth 039,10916.1
E02007108,Hackney 030,16214.5
E02007109,Hackney 031,12726.1
E02007110,Hackney 032,20912.7
E02007111,Hackney 033,9203.3
E02007112,Tower Hamlets 034,15118
E02007113,Tower Hamlets 035,10702.9
E02007114,Tower Hamlets 036,17398.8
E02007115,Camden 029,17336.9
