Middle layer Super Output Areas Code,Middle layer Super Output Areas,Ethnic group (20 categories) Code,Ethnic group (20 categories),Observation
E02000012,Barking and Dagenham 011,4,"Asian, Asian British or Asian Welsh: Pakistani",1438
E02000012,Barking and Dagenham 011,5,"Asian, Asian British or Asian Welsh: Other Asian",274
E02000012,Barking and Dagenham 011,6,"Black, Black British, Black Welsh, Caribbean or African: African",628
E02000012,Barking and Dagenham 011,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",276
E02000012,Barking and Dagenham 011,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",126
E02000012,Barking and Dagenham 011,9,Mixed or Multiple ethnic groups: White and Asian,132
E02000012,Barking and Dagenham 011,10,Mixed or Multiple ethnic groups: White and Black African,48
E02000012,Barking and Dagenham 011,11,Mixed or Multiple ethnic groups: White and Black Caribbean,76
E02000012,Barking and Dagenham 011,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,104
E02000012,Barking and Dagenham 011,13,"White: English, Welsh, Scottish, Northern Irish or British",2043
E02000012,Barking and Dagenham 011,14,White: Irish,33
E02000012,Barking and Dagenham 011,15,White: Gypsy or Irish Traveller,4
E02000012,Barking and Dagenham 011,16,White: Roma,18
E02000012,Barking and Dagenham 011,17,White: Other White,879
E02000012,Barking and Dagenham 011,18,Other ethnic group: Arab,65
E02000012,Barking and Dagenham 011,19,Other ethnic group: Any other ethnic group,315
E02000013,Barking and Dagenham 012,-8,Does not apply,0
E02000013,Barking and Dagenham 012,1,"Asian, Asian British or Asian Welsh: Bangladeshi",668
E02000013,Barking and Dagenham 012,2,"Asian, Asian British or Asian Welsh: Chinese",46
E02000013,Barking and Dagenham 012,3,"Asian, Asian British or Asian Welsh: Indian",282
E02000013,Barking and Dagenham 012,4,"Asian, Asian British or Asian Welsh: Pakistani",374
E02000013,Barking and Dagenham 012,5,"Asian, Asian British or Asian Welsh: Other Asian",207
E02000013,Barking and Dagenham 012,6,"Black, Black British, Black Welsh, Caribbean or African: African",1452
E02000013,Barking and Dagenham 012,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",153
E02000013,Barking and Dagenham 012,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",328
E02000013,Barking and Dagenham 012,9,Mixed or Multiple ethnic groups: White and Asian,68
E02000013,Barking and Dagenham 012,10,Mixed or Multiple ethnic groups: White and Black African,105
E02000013,Barking and Dagenham 012,11,Mixed or Multiple ethnic groups: White and Black Caribbean,152
E02000013,Barking and Dagenham 012,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,85
E02000013,Barking and Dagenham 012,13,"White: English, Welsh, Scottish, Northern Irish or British",3729
E02000013,Barking and Dagenham 012,14,White: Irish,50
E02000013,Barking and Dagenham 012,15,White: Gypsy or Irish Traveller,9
E02000013,Barking and Dagenham 012,16,White: Roma,30
E02000013,Barking and Dagenham 012,17,White: Other White,1474
E02000013,Barking and Dagenham 012,18,Other ethnic group: Arab,21
E02000013,Barking and Dagenham 012,19,Other ethnic group: Any other ethnic group,166
E02000014,Barking and Dagenham 013,-8,Does not apply,0
E02000014,Barking and Dagenham 013,1,"Asian, Asian British or Asian Welsh: Bangladeshi",712
E02000014,Barking and Dagenham 013,2,"Asian, Asian British or Asian Welsh: Chinese",83
E02000014,Barking and Dagenham 013,3,"Asian, Asian British or Asian Welsh: Indian",216
E02000014,Barking and Dagenham 013,4,"Asian, Asian British or Asian Welsh: Pakistani",274
E02000014,Barking and Dagenham 013,5,"Asian, Asian British or Asian Welsh: Other Asian",234
E02000014,Barking and Dagenham 013,6,"Black, Black British, Black Welsh, Caribbean or African: African",1502
E02000014,Barking and Dagenham 013,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",158
E02000014,Barking and Dagenham 013,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",208
E02000014,Barking and Dagenham 013,9,Mixed or Multiple ethnic groups: White and Asian,52
E02000014,Barking and Dagenham 013,10,Mixed or Multiple ethnic groups: White and Black African,77
E02000014,Barking and Dagenham 013,11,Mixed or Multiple ethnic groups: White and Black Caribbean,104
E02000014,Barking and Dagenham 013,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,78
E02000014,Barking and Dagenham 013,13,"White: English, Welsh, Scottish, Northern Irish or British",4298
E02000014,Barking and Dagenham 013,14,White: Irish,72
E02000014,Barking and Dagenham 013,15,White: Gypsy or Irish Traveller,7
E02000014,Barking and Dagenham 013,16,White: Roma,39
E02000014,Barking and Dagenham 013,17,White: Other White,1531
E02000014,Barking and Dagenham 013,18,Other ethnic group: Arab,28
E02000014,Barking and Dagenham 013,19,Other ethnic group: Any other ethnic group,191
E02000015,Barking and Dagenham 014,-8,Does not apply,0
E02000015,Barking and Dagenham 014,1,"Asian, Asian British or Asian Welsh: Bangladeshi",535
E02000015,Barking and Dagenham 014,2,"Asian, Asian British or Asian Welsh: Chinese",60
E02000015,Barking and Dagenham 014,3,"Asian, Asian British or Asian Welsh: Indian",168
E02000015,Barking and Dagenham 014,4,"Asian, Asian British or Asian Welsh: Pakistani",235
E02000015,Barking and Dagenham 014,5,"Asian, Asian British or Asian Welsh: Other Asian",130
E02000015,Barking and Dagenham 014,6,"Black, Black British, Black Welsh, Caribbean or African: African",1990
E02000015,Barking and Dagenham 014,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",222
E02000015,Barking and Dagenham 014,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",315
E02000015,Barking and Dagenham 014,9,Mixed or Multiple ethnic groups: White and Asian,55
E02000015,Barking and Dagenham 014,10,Mixed or Multiple ethnic groups: White and Black African,110
E02000015,Barking and Dagenham 014,11,Mixed or Multiple ethnic groups: White and Black Caribbean,155
E02000015,Barking and Dagenham 014,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,81
E02000015,Barking and Dagenham 014,13,"White: English, Welsh, Scottish, Northern Irish or British",2990
E02000015,Barking and Dagenham 014,14,White: Irish,43
E02000015,Barking and Dagenham 014,15,White: Gypsy or Irish Traveller,9
E02000015,Barking and Dagenham 014,16,White: Roma,16
E02000015,Barking and Dagenham 014,17,White: Other White,900
E02000015,Barking and Dagenham 014,18,Other ethnic group: Arab,51
E02000015,Barking and Dagenham 014,19,Other ethnic group: Any other ethnic group,163
E02000016,Barking and Dagenham 015,-8,Does not apply,0
E02000016,Barking and Dagenham 015,1,"Asian, Asian British or Asian Welsh: Bangladeshi",1134
E02000016,Barking and Dagenham 015,2,"Asian, Asian British or Asian Welsh: Chinese",131
E02000016,Barking and Dagenham 015,3,"Asian, Asian British or Asian Welsh: Indian",1284
E02000016,Barking and Dagenham 015,4,"Asian, Asian British or Asian Welsh: Pakistani",1030
E02000016,Barking and Dagenham 015,5,"Asian, Asian British or Asian Welsh: Other Asian",286
E02000016,Barking and Dagenham 015,6,"Black, Black British, Black Welsh, Caribbean or African: African",2271
E02000016,Barking and Dagenham 015,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",282
E02000016,Barking and Dagenham 015,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",263
E02000016,Barking and Dagenham 015,9,Mixed or Multiple ethnic groups: White and Asian,77
E02000016,Barking and Dagenham 015,10,Mixed or Multiple ethnic groups: White and Black African,140
E02000016,Barking and Dagenham 015,11,Mixed or Multiple ethnic groups: White and Black Caribbean,166
E02000016,Barking and Dagenham 015,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,151
E02000016,Barking and Dagenham 015,13,"White: English, Welsh, Scottish, Northern Irish or British",1261
E02000016,Barking and Dagenham 015,14,White: Irish,34
E02000016,Barking and Dagenham 015,15,White: Gypsy or Irish Traveller,3
E02000016,Barking and Dagenham 015,16,White: Roma,97
E02000016,Barking and Dagenham 015,17,White: Other White,1504
E02000016,Barking and Dagenham 015,18,Other ethnic group: Arab,94
E02000016,Barking and Dagenham 015,19,Other ethnic group: Any other ethnic group,360
E02000017,Barking and Dagenham 016,-8,Does not apply,0
E02000017,Barking and Dagenham 016,1,"Asian, Asian British or Asian Welsh: Bangladeshi",1320
E02000017,Barking and Dagenham 016,2,"Asian, Asian British or Asian Welsh: Chinese",71
E02000017,Barking and Dagenham 016,3,"Asian, Asian British or Asian Welsh: Indian",790
E02000017,Barking and Dagenham 016,4,"Asian, Asian British or Asian Welsh: Pakistani",1877
E02000017,Barking and Dagenham 016,5,"Asian, Asian British or Asian Welsh: Other Asian",364
E02000017,Barking and Dagenham 016,6,"Black, Black British, Black Welsh, Caribbean or African: African",740
E02000017,Barking and Dagenham 016,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",221
E02000017,Barking and Dagenham 016,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",122
E02000017,Barking and Dagenham 016,9,Mixed or Multiple ethnic groups: White and Asian,78
E02000017,Barking and Dagenham 016,10,Mixed or Multiple ethnic groups: White and Black African,70
E02000017,Barking and Dagenham 016,11,Mixed or Multiple ethnic groups: White and Black Caribbean,67
E02000017,Barking and Dagenham 016,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,113
E02000017,Barking and Dagenham 016,13,"White: English, Welsh, Scottish, Northern Irish or British",1297
E02000017,Barking and Dagenham 016,14,White: Irish,35
E02000017,Barking and Dagenham 016,15,White: Gypsy or Irish Traveller,13
E02000017,Barking and Dagenham 016,16,White: Roma,35
E02000017,Barking and Dagenham 016,17,White: Other White,1520
E02000017,Barking and Dagenham 016,18,Other ethnic group: Arab,47
E02000017,Barking and Dagenham 016,19,Other ethnic group: Any other ethnic group,354
E02000018,Barking and Dagenham 017,-8,Does not apply,0
E02000018,Barking and Dagenham 017,1,"Asian, Asian British or Asian Welsh: Bangladeshi",938
E02000018,Barking and Dagenham 017,2,"Asian, Asian British or Asian Welsh: Chinese",56
E02000018,Barking and Dagenham 017,3,"Asian, Asian British or Asian Welsh: Indian",273
E02000018,Barking and Dagenham 017,4,"Asian, Asian British or Asian Welsh: Pakistani",487
E02000018,Barking and Dagenham 017,5,"Asian, Asian British or Asian Welsh: Other Asian",174
E02000018,Barking and Dagenham 017,6,"Black, Black British, Black Welsh, Caribbean or African: African",1504
E02000018,Barking and Dagenham 017,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",210
E02000018,Barking and Dagenham 017,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",248
E02000018,Barking and Dagenham 017,9,Mixed or Multiple ethnic groups: White and Asian,58
E02000018,Barking and Dagenham 017,10,Mixed or Multiple ethnic groups: White and Black African,111
E02000018,Barking and Dagenham 017,11,Mixed or Multiple ethnic groups: White and Black Caribbean,127
E02000018,Barking and Dagenham 017,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,95
E02000018,Barking and Dagenham 017,13,"White: English, Welsh, Scottish, Northern Irish or British",3472
E02000018,Barking and Dagenham 017,14,White: Irish,32
E02000018,Barking and Dagenham 017,15,White: Gypsy or Irish Traveller,3
E02000018,Barking and Dagenham 017,16,White: Roma,29
